ShopNumber,Description,"MCHX Account Name","MCHX Campaign Name",PhysicalAddress1,PhysicalAddress2,PhysicalCity,"Physical StateProvinceTerritory",PhysicalPostalCode,LocationPhone1,"Tracking Number"
1114,"Open-Generating Business",Meineke-Portsmouth-1114,"1114-Organic Search","2200 Lafayette Road",,Portsmouth,NH,03801-5609,6034333951,6033194998
1136,"Open-Generating Business",Meineke-Humble-1136,"1136-Organic Search","3515 FM 1960 East",,Humble,TX,77338-5320,2818528730,2819734742
1148,"Open-Generating Business",Meineke-Spokane-1148,"1148-Organic Search","West 710 Francis Street",,Spokane,WA,99205,5093270700,5097208922
1204,"Open-Generating Business",Meineke-Lawrenceville-1204,"1204-Organic Search","999 Duluth Highway",,Lawrenceville,GA,30043,7702373441,7706761380
1256,"Open-Generating Business",Meineke-Vestal-1256,"1256-Organic Search","2295 Vestal Parkway East",,Vestal,NY,13850,6077579988,6077446948
1288,"Open-Generating Business",Meineke-Stafford-1288,"1288-Organic Search","#9 Dorothy Lane",,Stafford,VA,22554,5407207369,5403187842
1311,"Open-Generating Business",Meineke-Weston-1311,"1311-Organic Search","2629 Weston Road",,Weston,FL,33331,9543858696,9544069808
1320,"Open-Generating Business",Meineke-Newark-1320,"1320-Organic Search","241 Bloomfield Avenue",,Newark,NJ,07104-1105,9734836254,9735362158
1323,"Open-Generating Business",Meineke-Columbus-1323,"1323-Organic Search","228 Park Road",,Columbus,OH,43235,6148880311,6149878703
1363,"Open-Generating Business",Meineke-Amarillo-1363,"1363-Organic Search","1805 South Grand Street",,Amarillo,TX,79103,8063744411,8064102662
1397,"Open-Generating Business",Meineke-Anchorage-1397,"1397-Organic Search","3200 Seward Highway","Suite 101",Anchorage,AK,99503-4150,9072794541,9078850337
1417,"Open-Generating Business","Meineke-West Mifflin-1417","1417-Organic Search","4103 Kennywood Boulevard",,"West Mifflin",PA,15122-2233,4124627780,4124518968
1440,"Open-Generating Business",Meineke-Vancouver-1440,"1440-Organic Search","15510 East Mill Plain Blvd.",,Vancouver,WA,98684,3602608585,3609893556
1460,"Open-Generating Business",Meineke-Pflugerville-1460,"1460-Organic Search","2324 West Pecan Street",,Pflugerville,TX,78660,5129893352,5127828011
1539,"Open-Generating Business","Meineke-Valley Stream-1539","1539-Organic Search","34 East Merrick Road",,"Valley Stream",NY,11580,5168255662,5163412332
1542,"Open-Generating Business","Meineke-Sioux Falls-1542","1542-Organic Search","2607 West 41st Street",,"Sioux Falls",SD,57105,6053730068,6056109993
1591,"Open-Generating Business",Meineke-Albuquerque-1591,"1591-Organic Search","1812 Juan Tabo NE",,Albuquerque,NM,87112-4433,5052996081,5052738481
1632,"Open-Generating Business",Meineke-Tupelo-1632,"1632-Organic Search","803 North Gloster",,Tupelo,MS,38804,6626200767,6622050971
1638,"Open-Generating Business",Meineke-Norcross-1638,"1638-Organic Search","5250 Peachtree Industrial Blvd",,Norcross,GA,30071,7708490772,7707294749
1668,"Open-Generating Business","Meineke-Horn Lake-1668","1668-Organic Search","1851 Goodman Road West",,"Horn Lake",MS,38637,6622809206,6622537114
1697,"Open-Generating Business",Meineke-Indianapolis-1697,"1697-Organic Search","4905 South Emerson Avenue",,Indianapolis,IN,46203,3173961700,3177592009
1718,"Open-Generating Business",Meineke-Pineville-1718,"1718-Organic Search","1103 Palmetto Drive",,Pineville,LA,71360,3184492491,3183034110
1820,"Open-Generating Business",Meineke-Houston-1820,"1820-Organic Search","7880 Highway 6 South",,Houston,TX,77082,2815646688,2818109448
1853,"Open-Generating Business","Meineke-Olive Branch-1853","1853-Organic Search","10045 Ridgeway Industrial Drive",,"Olive Branch",MS,38654,6628934888,6626380976
1906,"Open-Generating Business","Meineke-De Land-1906","1906-Organic Search","1301 S. Woodland Blvd",,"De Land",FL,32720,3867382502,3864908535
1913,"Open-Generating Business",Meineke-Indianapolis-1913,"1913-Organic Search","5323 W. 38th Street",,Indianapolis,IN,46254,3172998870,3175437206
1923,"Open-Generating Business","Meineke-Walled Lake-1923","1923-Organic Search","4370 Haggerty Road",,"Walled Lake",MI,48390,2483639393,2487163083
1959,"Open-Generating Business",Meineke-Florence-1959,"1959-Organic Search","2075 Florence Boulevard",,Florence,AL,35630,2567604533,2562754123
2004,"Open-Generating Business",Meineke-Tulsa-2004,"2004-Organic Search","4751 South Memorial Drive",,Tulsa,OK,74145,9186650920,9186414879
2005,"Open-Generating Business","Meineke-Broken Arrow-2005","2005-Organic Search","710 North Aspen Avenue",,"Broken Arrow",OK,74012,9182582676,9186154586
2007,"Open-Generating Business",Meineke-Wichita-2007,"2007-Organic Search","3430 North Woodlawn Boulevard",,Wichita,KS,67220,3166818663,3162521627
2008,"Open-Generating Business",Meineke-Wichita-2008,"2008-Organic Search","1810 West 21st Street",,Wichita,KS,67203,3168382660,3166657405
2009,"Open-Generating Business",Meineke-Wichita-2009,"2009-Organic Search","2344 South Seneca",,Wichita,KS,67213,3162657859,3164480317
2010,"Open-Generating Business",Meineke-Derby-2010,"2010-Organic Search","1910 North Nelson Drive",,Derby,KS,67037,3167888800,3167684929
2033,"Open-Generating Business","Meineke-Spring Hill-2033","2033-Organic Search","14395 Spring Hill Drive",,"Spring Hill",FL,34609,3525934952,3525933027
2042,"Open-Generating Business",Meineke-Franklin-2042,"2042-Organic Search","74 Sawmill Village Lane",,Franklin,NC,28734,8283692664,8286347283
2057,"Open-Generating Business","Meineke-Sun Prairie-2057","2057-Organic Search","2518 Ironwood Drive",,"Sun Prairie",WI,53590,6088370271,6084780191
2067,"Open-Generating Business",Meineke-Katy-2067,"2067-Organic Search","455 Katy Fort Bend Road",#310,Katy,TX,77494,2813712200,2813941934
2077,"Open-Generating Business","Meineke-Fort Myers-2077","2077-Organic Search","3029 Fowler Street",,"Fort Myers",FL,33901,2393341192,2396906323
2103,"Open-Generating Business",Meineke-Woodstock-2103,"2103-Organic Search","9777 Highway 92",,Woodstock,GA,30188,7705161146,7706157236
2110,"Open-Generating Business","Meineke-Las Vegas-2110","2110-Organic Search","3840 Blue Diamond Road",,"Las Vegas",NV,89139,7028759120,7027060679
2115,"Open-Generating Business","Meineke-New Braunfels-2115","2115-Organic Search","1474 South Seguin Avenue",,"New Braunfels",TX,78130,8303874194,8303124822
2128,"Open-Generating Business",Meineke-Phoenix-2128,"2128-Organic Search","2630 E Bell Road","Suite 1",Phoenix,AZ,85032,6024822111,6028420795
2158,"Open-Generating Business",Meineke-Taylorsville-2158,"2158-Organic Search","4238 S. Redwood Road",,Taylorsville,UT,84123,8017467946,8018394887
2177,"Open-Generating Business",Meineke-Mcminnville-2177,"2177-Organic Search","2175 NE 27th Street",,Mcminnville,OR,97128,5033768300,5033769307
2193,"Open-Generating Business","Meineke-San Angelo-2193","2193-Organic Search","3201 Knickerbocker Rd",,"San Angelo",TX,76904,3257162624,3257047591
2222,"Open-Generating Business","Meineke-Wake Forest-2222","2222-Organic Search","949 Gateway Commons Circle",,"Wake Forest",NC,27587,9195543333,9192630126
2227,"Open-Generating Business",Meineke-Riverside-2227,"2227-Organic Search","2650 E Alessandro Blvd.",,Riverside,CA,92508-2305,9516533159,9514722662
2271,"Open-Generating Business",Meineke-Racine-2271,"2271-Organic Search","6006 21st Street",,Racine,WI,53406,2625521316,2623246279
2272,"Open-Generating Business",Meineke-Hutchinson-2272,"2272-Organic Search","1223 East 30th Avenue",,Hutchinson,KS,67502,6202596284,6208600949
2306,"Open-Generating Business",Meineke-Missoula-2306,"2306-Organic Search","805 N. Russell Street","Suite 1",Missoula,MT,59808,4065413434,4062035152
2316,"Open-Generating Business",Meineke-Garland-2316,"2316-Organic Search","5615 Broadway Blvd.",,Garland,TX,75043,9723032918,9729056953
2358,"Open-Generating Business",Meineke-Jacksonville-2358,"2358-Organic Search","5717 University Blvd W.",,Jacksonville,FL,32216,9043743016,9043029803
2378,"Open-Generating Business",Meineke-Tacoma-2378,"2378-Organic Search","2701 Bridgeport Way W.",,Tacoma,WA,98466,2535645110,2537773247
2390,"Open-Generating Business",Meineke-Boise-2390,"2390-Organic Search","9688 W. Fairview Ave.",,Boise,ID,83704,2083227799,2083914051
2478,"Open-Generating Business",Meineke-Arlington-2478,"2478-Organic Search","820 SW Green Oaks",,Arlington,TX,76017,6827063232,6822385326
2486,"Open-Generating Business",Meineke-Orlando-2486,"2486-Organic Search","185 S. Semoran Blvd.",,Orlando,FL,32807,3217323275,3212063215
2505,"Open-Generating Business","Meineke-Fort Worth-2505","2505-Organic Search","4041 Boat Club Road",,"Fort Worth",TX,76135,8179841529,8173496173
2510,"Open-Generating Business",Meineke-Houston-2510,"2510-Organic Search","9140 Telge Rd",,Houston,TX,77095-5103,2818583000,2818152513
2524,"Open-Generating Business","Meineke-Fort Worth-2524","2524-Organic Search","5530 SW Loop 820",,"Fort Worth",TX,76132,8173770533,8179358853
2530,"Open-Generating Business",Meineke-Henderson-2530,"2530-Organic Search","704 S. Boulder Hwy",,Henderson,NV,89015,7025631290,7028020541
2537,"Open-Generating Business",Meineke-Norcross-2537,"2537-Organic Search","4810 Peachtree Industrial Blvd.",,Norcross,GA,30071,7703269883,7707294808
2538,"Open-Generating Business",Meineke-Lawrenceville-2538,"2538-Organic Search","885 Marathon Pkwy",,Lawrenceville,GA,30045,6783760071,6787109022
2572,"Open-Generating Business",Meineke-Monroe-2572,"2572-Organic Search","211 Louisville Avenue",,Monroe,LA,71201,3183406368,3184600368
2587,"Open-Generating Business","Meineke-Gloucester Township-2587","2587-Organic Search","1106 N Black Horse Pike",,"Gloucester Township",NJ,8012,8562289660,8564813082
2592,"Open-Generating Business","Meineke-St. Matthews-2592","2592-Organic Search","3949 Shelbyville Rd",,"St. Matthews",KY,40207,5025265048,5025265357
2615,"Open-Generating Business",Meineke-Wichita-2615,"2615-Organic Search","925 E. Central Avenue",,Wichita,KS,67202,3162020232,3166334838
4000,"Open-Generating Business",Meineke-Concord-4000,"4000-Organic Search","901 Concord Parkway South HWY 29",,Concord,NC,28027,7047210044,7049601337
4046,"Open-Generating Business","Meineke-Yorba Linda-4046","4046-Organic Search","17025 Imperial Highway",,"Yorba Linda",CA,92886,7145791600,7149846485
4063,"Open-Generating Business",Meineke-Sacramento-4063,"4063-Organic Search","9025 Folsom Boulevard",,Sacramento,CA,95826,9163683888,9168226439
4089,"Open-Generating Business",Meineke-Tucson-4089,"4089-Organic Search","3332 North Oracle Road",,Tucson,AZ,85705,5202937796,5204416227
4128,"Open-Generating Business",Meineke-Phoenix-4128,"4128-Organic Search","2402 East Osborn Road",,Phoenix,AZ,85016,6024680010,6028426361
4130,"Open-Generating Business",Meineke-Stockton-4130,"4130-Organic Search","6970 West Lane",,Stockton,CA,95210,2099549258,2094251104
4135,"Open-Generating Business",Meineke-Scottsdale-4135,"4135-Organic Search","7950 East Thomas Road",,Scottsdale,AZ,85251,4809703213,4802957154
4144,"Open-Generating Business","Meineke-San Antonio-4144","4144-Organic Search","9420 Culebra Road - FM 471 W",,"San Antonio",TX,78251,2105231208,2102727049
4146,"Open-Generating Business","Meineke-Las Vegas-4146","4146-Organic Search","4897 South Rainbow Boulevard",,"Las Vegas",NV,89103,7028735486,7026254403
4147,"Open-Generating Business","Meineke-Stone Mountain-4147","4147-Organic Search","5279 U.S. Highway 78",,"Stone Mountain",GA,30087,7704134283,7707294850
4155,"Open-Generating Business","Meineke-Yorba Linda-4155","4155-Organic Search","22270 La Palma",,"Yorba Linda",CA,92887,7146928394,7144559473
4169,"Open-Generating Business",Meineke-Arlington-4169,"4169-Organic Search","5980 Poly Webb Road",,Arlington,TX,76016,8174836700,8174761272
4181,"Open-Generating Business",Meineke-Temecula-4181,"4181-Organic Search","27685 Jefferson Ave.",,Temecula,CA,92590,9516944073,9512253761
4184,"Open-Generating Business",Meineke-Atlanta-4184,"4184-Organic Search","8600 Roswell Road",,Atlanta,GA,30350,7706459633,7707294683
4202,"Open-Generating Business",Meineke-Ventura-4202,"4202-Organic Search","4519 Telephone Road",,Ventura,CA,93003,8056501201,8056660997
4234,"Open-Generating Business",Meineke-Phoenix-4234,"4234-Organic Search","4115 East Chandler Boulevard",,Phoenix,AZ,85044,4807592519,4803892204
4312,"Open-Generating Business","Meineke-Midwest City-4312","4312-Organic Search","307 South Air Depot Boulevard",,"Midwest City",OK,73110,4057321011,4054584220
4338,"Open-Generating Business",Meineke-Surprise-4338,"4338-Organic Search","15494 West Bell Road",,Surprise,AZ,85374,6239756688,6232085871
4363,"Open-Generating Business",Meineke-Sapulpa-4363,"4363-Organic Search","120 North Mission",,Sapulpa,OK,74066,9185126592,9183477077
4365,"Open-Generating Business",Meineke-Edmond-4365,"4365-Organic Search","2400 South Broadway",,Edmond,OK,73013,4053410404,4055625808
4374,"Open-Generating Business","Meineke-Port Orchard-4374","4374-Organic Search","1445 Olney Avenue",,"Port Orchard",WA,98366,3608716332,3606022894
